Country Name,Country Code,Region,IncomeGroup,Year,Internet_Users_Pct
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2000,2.90267
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2001,3.43089
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2002,3.38592
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2003,3.34519
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2004,3.30489
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2005,3.26255
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2006,4.28993
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2007,5.28
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2008,6.25
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2009,6.15
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2010,6.0
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2011,9.0
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2012,16.0
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2013,30.0
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2014,36.7447
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2015,37.3121
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2016,42.2576
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2017,47.8587
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2018,54.2022
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2019,61.3865
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2020,69.523
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2021,78.738
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2022,80.3696
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2023,81.36
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2000,0.641265
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2001,0.838946
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2002,2.72
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2003,4.03789
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2004,11.92
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2005,12.75
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2006,13.66
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2007,16.03
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2008,18.01
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2009,20.0
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2010,21.6
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2011,25.6
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2012,26.4
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2013,29.4
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2014,33.8946
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2015,37.8194
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2016,41.2481
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2017,44.9502
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2018,46.9243
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2019,57.2829
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2020,71.9142
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2021,72.056
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2022,72.1981
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2023,72.6899
Ethiopia,ETH,Sub-Saharan Africa,,2000,0.0152638
Ethiopia,ETH,Sub-Saharan Africa,,2001,0.0371624
Ethiopia,ETH,Sub-Saharan Africa,,2002,0.0724023
Ethiopia,ETH,Sub-Saharan Africa,,2003,0.105812
Ethiopia,ETH,Sub-Saharan Africa,,2004,0.155335
Ethiopia,ETH,Sub-Saharan Africa,,2005,0.21966
Ethiopia,ETH,Sub-Saharan Africa,,2006,0.310593
Ethiopia,ETH,Sub-Saharan Africa,,2007,0.37
Ethiopia,ETH,Sub-Saharan Africa,,2008,0.45
Ethiopia,ETH,Sub-Saharan Africa,,2009,0.54
Ethiopia,ETH,Sub-Saharan Africa,,2010,0.75
Ethiopia,ETH,Sub-Saharan Africa,,2011,1.1
Ethiopia,ETH,Sub-Saharan Africa,,2012,2.9
Ethiopia,ETH,Sub-Saharan Africa,,2013,4.6
Ethiopia,ETH,Sub-Saharan Africa,,2014,7.7
Ethiopia,ETH,Sub-Saharan Africa,,2015,13.8552
Ethiopia,ETH,Sub-Saharan Africa,,2016,15.3669
Ethiopia,ETH,Sub-Saharan Africa,,2017,15.6
Ethiopia,ETH,Sub-Saharan Africa,,2018,15.9
Ethiopia,ETH,Sub-Saharan Africa,,2019,16.0
Ethiopia,ETH,Sub-Saharan Africa,,2020,16.0696
Ethiopia,ETH,Sub-Saharan Africa,,2021,16.6981
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2000,0.153615
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2001,0.200008
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2002,0.830284
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2003,1.19306
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2004,1.7168
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2005,1.8312
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2006,2.72318
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2007,3.85
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2008,4.27
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2009,5.44
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2010,7.8
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2011,9.0
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2012,10.6
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2013,15.0
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2014,19.0
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2015,23.0
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2016,28.0
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2017,37.8842
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2018,43.0
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2019,22.0732
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2020,62.5176
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2021,68.6
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2022,69.3607
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2023,69.9445
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2000,0.31806
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2001,0.619782
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2002,1.20777
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2003,2.9419
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2004,3.02353
